Recourse,Type,Topic,Subtopic,Link,Observation,
,,Visualization,Tipos de gráfico por tipo de variável,https://www.data-to-viz.com/?fbclid=IwAR3obSWr-lrRlu9X3raiC9-a43JI4treC7lFFst5TsfD-zPQnYd5OPj0N60,,
,,Visualization,MatplotlibVsSeabornVsPlotly,https://www.youtube.com/watch?v=hRxULrK7bQY,,
,,Visualization,Python Graph Gallery,https://python-graph-gallery.com/,,
,,Visualization,Data to Viz,https://www.data-to-viz.com/,,
,,Visualization,Article,https://towardsdatascience.com/the-next-level-of-data-visualization-in-python-dd6e99039d5e?gi=d55683ddd554,,
,,Visualization,Cores,https://medium.com/nightingale/how-to-choose-the-colors-for-your-data-visualizations-50b2557fa335,,
,,Visualization,Bokeh,https://docs.bokeh.org/en/latest/index.html,,
,,Visualization,Altair,https://colab.research.google.com/drive/1pcmQicQ7J9MYA164OA__9l3i0XxanPG3#scrollTo=2_ozPvPD73Zm,,
,,Visualization,Altair,https://altair-viz.github.io/user_guide/customization.html,,
,,Visualization,Dash,https://public.tableau.com/profile/lucas.alves#!/vizhome/covid-19_15846311132790/Covid-19,,
,,Visualization,Yellowbrick,https://medium.com/data-science-community-srm/machine-learning-visualizations-with-yellowbrick-3c533955b1b3,,
,,Categorical,Label Encoder,https://towardsdatascience.com/categorical-encoding-using-label-encoding-and-one-hot-encoder-911ef77fb5bd,,
,,Categorical,Label Encoder,https://www.it-swarm.dev/pt/python/get-dummies-do-panda-vs.-onehotencoder-do-sklearn-quais-sao-os-pros-e-os-contras/824881267/,,
,,Cluster binário,,http://www.iaeng.org/publication/WCECS2017/WCECS2017_pp394-398.pdf,,
,,Cluster binário,,https://github.com/pepe78/POPC-examples-python,,
,,Deep learning,,https://deep-learning-drizzle.github.io/,,
,,Lives,Mario Filho,https://www.youtube.com/user/marionefilho/videos,,
,,Lives,Probability,https://seeing-theory.brown.edu/basic-probability/index.html,,
,,Gitlab,Random Forest,https://gitlab.com/murilocaldeira/bostonpriceforecast,,
,,Gitlab,Random Forest,https://bostonpriceforecast.herokuapp.com/,,
,,Estatística,Normalizar ou Padronizar,https://bit.ly/aceleradev-semana2,,
,,Estatística,Distribuição acumulada empírica,https://machinelearningmastery.com/empirical-distribution-function-in-python/,,
,,Estatística,Binomial,https://www.youtube.com/watch?v=J8jNoF-K8E8,,
,,Python,Canal,https://www.youtube.com/watch?v=ezfr9d7wd_k&list=PLHz_AreHm4dksnH2jVTIVNviIMBVYyFnH&index=29,Guanabara,
,,Python,Dict comprehension,https://www.python.org/dev/peps/pep-0274/,,
,,Pingouin,Statistics,https://github.com/raphaelvallat/pingouin,,
,,Pandas,JSON,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_json.html,,
,,Pandas,JSON,https://medium.com/@renatojlelis/trabalhando-com-json-no-python-1eb0f97c0c50,,
,,Pandas,JSON,https://thepythonguru.com/reading-and-writing-json-in-python/,,
